Nr,exercise,level_verben,question,answer,german,english,french,case_english,case_french,verb,combination,explanation_verb_english,explanation_verb_french,explanation_preposition_english,explanation_preposition_french,explanation_english,explanation_french
681,24,,Sie erschreckte _____ den plötzlichen Knall.,über,Sie erschreckte über den plötzlichen Knall.,She was startled by the sudden bang.,Elle a été surprise par le bruit soudain.,,,erschrecken,erschrecken über,to get frightened by = erschrecken über + Accusative,avoir peur de = erschrecken über + Accusatif,to introduce an emotional theme → über + Acc.,pour introduire un thème émotionnel → über + Acc.,to get frightened by = erschrecken über + Accusative<br>to introduce an emotional theme → über + Acc.,avoir peur de = erschrecken über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.
682,24,,Er erschrak _____ die drastischen Veränderungen im Bericht.,über,Er erschrak über die drastischen Veränderungen im Bericht.,He was startled by the drastic changes in the report.,Il a été effrayé par les changements drastiques dans le rapport.,,,erschrecken,erschrecken über,to get frightened by = erschrecken über + Accusative,avoir peur de = erschrecken über + Accusatif,to introduce an emotional theme → über + Acc.,pour introduire un thème émotionnel → über + Acc.,to get frightened by = erschrecken über + Accusative<br>to introduce an emotional theme → über + Acc.,avoir peur de = erschrecken über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.
683,24,,Ich erschrecke _____ Spinnen.,vor,Ich erschrecke vor Spinnen.,I get scared of spiders.,J'ai peur des araignées.,,,erschrecken,erschrecken vor,to be scared of = erschrecken vor + Dative,avoir peur de = erschrecken vor + Datif,to introduce an object of danger → vor + Dat.,pour introduire un danger → vor + Dat.,to be scared of = erschrecken vor + Dative<br>to introduce an object of danger → vor + Dat.,avoir peur de = erschrecken vor + Datif<br>pour introduire un danger → vor + Dat.
684,24,,Das Kind erschrak _____ dem Hund.,vor,Das Kind erschrak vor dem Hund.,The child was frightened of the dog.,L'enfant avait peur du chien.,,,erschrecken,erschrecken vor,to be scared of = erschrecken vor + Dative,avoir peur de = erschrecken vor + Datif,to introduce an object of danger → vor + Dat.,pour introduire un danger → vor + Dat.,to be scared of = erschrecken vor + Dative<br>to introduce an object of danger → vor + Dat.,avoir peur de = erschrecken vor + Datif<br>pour introduire un danger → vor + Dat.
685,24,,Sie erschrak _____ dem lauten Donner.,vor,Sie erschrak vor dem lauten Donner.,She was startled by the loud thunder.,Elle a sursauté devant le tonnerre puissant.,,,erschrecken,erschrecken vor,to be scared of = erschrecken vor + Dative,avoir peur de = erschrecken vor + Datif,to introduce an object of danger → vor + Dat.,pour introduire un danger → vor + Dat.,to be scared of = erschrecken vor + Dative<br>to introduce an object of danger → vor + Dat.,avoir peur de = erschrecken vor + Datif<br>pour introduire un danger → vor + Dat.
686,24,,Es handelt sich _____ ein Missverständnis.,um,Es handelt sich um ein Missverständnis.,It’s about a misunderstanding.,Il s'agit d'un malentendu.,,,handeln,sich handeln um,to be about = sich handeln um + Accusative,"être à propos de, s'agir de = sich handeln um + Accusatif",to introduce a central object of concern or covetousness → um + Acc.,pour introduire un objet central d'intérêt ou de convoitise → um + Acc.,to be about = sich handeln um + Accusative<br>to introduce a central object of concern or covetousness → um + Acc.,"être à propos de, s'agir de = sich handeln um + Accusatif<br>pour introduire un objet central d'intérêt ou de convoitise → um + Acc."
687,24,,Der Film handelt sich _____ eine wahre Geschichte.,um,Der Film handelt sich um eine wahre Geschichte.,The film is about a true story.,Le film est inspiré d'une histoire vraie.,,,handeln,sich handeln um,to be about = sich handeln um + Accusative,"être à propos de, s'agir de = sich handeln um + Accusatif",to introduce a central object of concern or covetousness → um + Acc.,pour introduire un objet central d'intérêt ou de convoitise → um + Acc.,to be about = sich handeln um + Accusative<br>to introduce a central object of concern or covetousness → um + Acc.,"être à propos de, s'agir de = sich handeln um + Accusatif<br>pour introduire un objet central d'intérêt ou de convoitise → um + Acc."
688,24,,In dem Buch handelt es sich _____ ein historisches Ereignis.,um,In dem Buch handelt es sich um ein historisches Ereignis.,The book is about a historical event.,Ce livre relate un événement historique.,,,handeln,sich handeln um,to be about = sich handeln um + Accusative,"être à propos de, s'agir de = sich handeln um + Accusatif",to introduce a central object of concern or covetousness → um + Acc.,pour introduire un objet central d'intérêt ou de convoitise → um + Acc.,to be about = sich handeln um + Accusative<br>to introduce a central object of concern or covetousness → um + Acc.,"être à propos de, s'agir de = sich handeln um + Accusatif<br>pour introduire un objet central d'intérêt ou de convoitise → um + Acc."
689,24,,Das Buch handelt _____ Liebe und Verlust.,von,Das Buch handelt von Liebe und Verlust.,The book is about love and loss.,Ce livre parle d'amour et de perte.,,,handeln,handeln von,"to revolve around, to be about = handeln von + Dative","traiter de, être à propos de = handeln von + Datif",,,"to revolve around, to be about = handeln von + Dative","traiter de, être à propos de = handeln von + Datif"
690,24,,Die Geschichte handelt _____ einem jungen Abenteurer.,von,Die Geschichte handelt von einem jungen Abenteurer.,The story is about a young adventurer.,L'histoire parle d'un jeune aventurier.,,,handeln,handeln von,"to revolve around, to be about = handeln von + Dative","traiter de, être à propos de = handeln von + Datif",,,"to revolve around, to be about = handeln von + Dative","traiter de, être à propos de = handeln von + Datif"
691,24,,Der Film handelt _____ einer schwierigen Vater-Sohn-Beziehung.,von,Der Film handelt von einer schwierigen Vater-Sohn-Beziehung.,The movie is about a difficult father-son relationship.,Le film traite d'une relation père-fils difficile.,,,handeln,handeln von,"to revolve around, to be about = handeln von + Dative","traiter de, être à propos de = handeln von + Datif",,,"to revolve around, to be about = handeln von + Dative","traiter de, être à propos de = handeln von + Datif"
692,24,,Der Händler handelt _____ exotischen Gewürzen.,mit,Der Händler handelt mit exotischen Gewürzen.,The merchant deals in exotic spices.,Le marchand fait le commerce d'épices exotiques.,,,handeln,handeln mit,"to trade with, to trade in = handeln mit + Dative","commercer, commercialiser = handeln mit + Datif",to introduce a subject to handle → mit + Dat.,pour introduire un sujet à gérer → mit + Dat.,"to trade with, to trade in = handeln mit + Dative<br>to introduce a subject to handle → mit + Dat.","commercer, commercialiser = handeln mit + Datif<br>pour introduire un sujet à gérer → mit + Dat."
693,24,,Sie handelt _____ Kunstwerken aus der ganzen Welt.,mit,Sie handelt mit Kunstwerken aus der ganzen Welt.,She deals in artworks from around the world.,Elle commercialise des œuvres d'art du monde entier.,,,handeln,handeln mit,"to trade with, to trade in = handeln mit + Dative","commercer, commercialiser = handeln mit + Datif",to introduce a subject to handle → mit + Dat.,pour introduire un sujet à gérer → mit + Dat.,"to trade with, to trade in = handeln mit + Dative<br>to introduce a subject to handle → mit + Dat.","commercer, commercialiser = handeln mit + Datif<br>pour introduire un sujet à gérer → mit + Dat."
694,24,,Die Firma handelt seit Jahren erfolgreich _____ Elektronikprodukten.,mit,Die Firma handelt seit Jahren erfolgreich mit Elektronikprodukten.,The company has been trading successfully in electronic products for many years.,L'entreprise commercialise avec succès des produits électroniques depuis de nombreuses années.,,,handeln,handeln mit,"to trade with, to trade in = handeln mit + Dative","commercer, commercialiser = handeln mit + Datif",to introduce a subject to handle → mit + Dat.,pour introduire un sujet à gérer → mit + Dat.,"to trade with, to trade in = handeln mit + Dative<br>to introduce a subject to handle → mit + Dat.","commercer, commercialiser = handeln mit + Datif<br>pour introduire un sujet à gérer → mit + Dat."
695,24,,Viele Menschen demonstrieren _____ mehr Gerechtigkeit.,für,Viele Menschen demonstrieren für mehr Gerechtigkeit.,Many people are demonstrating for more justice.,Beaucoup de gens manifestent pour plus de justice.,,,demonstrieren,demonstrieren für,to demonstrate for = demonstrieren für + Accusative,manifester pour = demonstrieren für + Accusatif,"to introduce an endorsement, an approval or an advocacy → für + Acc.","pour introduire une approbation, un accord ou un plaidoyer → für + Acc.","to demonstrate for = demonstrieren für + Accusative<br>to introduce an endorsement, an approval or an advocacy → für + Acc.","manifester pour = demonstrieren für + Accusatif<br>pour introduire une approbation, un accord ou un plaidoyer → für + Acc."
696,24,,Die Mitarbeiter demonstrieren _____ bessere Arbeitsbedingungen.,für,Die Mitarbeiter demonstrieren für bessere Arbeitsbedingungen.,The employees are demonstrating for better working conditions.,Les employés manifestent pour de meilleures conditions de travail.,,,demonstrieren,demonstrieren für,to demonstrate for = demonstrieren für + Accusative,manifester pour = demonstrieren für + Accusatif,"to introduce an endorsement, an approval or an advocacy → für + Acc.","pour introduire une approbation, un accord ou un plaidoyer → für + Acc.","to demonstrate for = demonstrieren für + Accusative<br>to introduce an endorsement, an approval or an advocacy → für + Acc.","manifester pour = demonstrieren für + Accusatif<br>pour introduire une approbation, un accord ou un plaidoyer → für + Acc."
697,24,,Die Studierenden demonstrierten _____ den Erhalt der Universität.,für,Die Studierenden demonstrierten für den Erhalt der Universität.,The students demonstrated for the preservation of the university.,Les étudiants ont manifesté pour la préservation de l’université.,,,demonstrieren,demonstrieren für,to demonstrate for = demonstrieren für + Accusative,manifester pour = demonstrieren für + Accusatif,"to introduce an endorsement, an approval or an advocacy → für + Acc.","pour introduire une approbation, un accord ou un plaidoyer → für + Acc.","to demonstrate for = demonstrieren für + Accusative<br>to introduce an endorsement, an approval or an advocacy → für + Acc.","manifester pour = demonstrieren für + Accusatif<br>pour introduire une approbation, un accord ou un plaidoyer → für + Acc."
698,24,,Die Bevölkerung demonstriert _____ die Steuererhöhung.,gegen,Die Bevölkerung demonstriert gegen die Steuererhöhung.,The population is protesting against the tax increase.,La population manifeste contre l'augmentation des impôts.,,,demonstrieren,demonstrieren gegen,to demonstrate against = demonstrieren gegen + Accusative,manifester contre = demonstrieren gegen + Accusatif,to introduce a rejection or an opposition → gegen + Acc.,pour introduire un rejet ou une opposition → gegen + Acc.,to demonstrate against = demonstrieren gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,manifester contre = demonstrieren gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.
