Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,case_english,case_french
514,13,_____ den Gästen war auch ein berühmter Schauspieler.,Unter,Unter den Gästen war auch ein berühmter Schauspieler.,Among the guests was also a famous actor.,Parmi les invités se trouvait également un acteur célèbre.,translation of <i>among</i> to describe an element as part of a group → unter + Dat.,traduction de <i>parmi</i> pour décrire un élément comme faisant partie d'un groupe → unter + Dat.,,
515,13,_____ Freunden spricht man offen über alles.,Unter,Unter Freunden spricht man offen über alles.,"Among friends, people speak openly about everything.","Entre amis, on parle ouvertement de tout.",translation of <i>among</i> to describe an element as part of a group → unter + Dat.,traduction de <i>parmi</i> pour décrire un élément comme faisant partie d'un groupe → unter + Dat.,,
516,13,Er fühlt sich _____ seinen Kollegen manchmal ausgeschlossen.,unter,Er fühlt sich unter seinen Kollegen manchmal ausgeschlossen.,He sometimes feels excluded among his colleagues.,Il se sent parfois exclu parmi ses collègues.,translation of <i>among</i> to describe an element as part of a group → unter + Dat.,traduction de <i>parmi</i> pour décrire un élément comme faisant partie d'un groupe → unter + Dat.,,
517,13,_____ Kindern ist dieses Spiel sehr beliebt.,Bei,Bei Kindern ist dieses Spiel sehr beliebt.,This game is very popular among children.,Ce jeu est très populaire auprès des enfants.,"translation of <i>among</i> to describe a category or a context – <i>in the context of</i>, <i>in the case of</i>, <i>when it comes to</i> → bei + Dat.","traduction de <i>parmi</i> pour décrire une catégorie ou un contexte – <i>dans le contexte de</i>, <i>dans le cas de</i>, <i>quand il s'agit de</i> → bei + Dat.",,
518,13,_____ Katzen ist dieses Verhalten normal.,Bei,Bei Katzen ist dieses Verhalten normal.,This behavior is normal among cats.,Ce comportement est normal chez les chats.,"translation of <i>among</i> to describe a category or a context – <i>in the context of</i>, <i>in the case of</i>, <i>when it comes to</i> → bei + Dat.","traduction de <i>parmi</i> pour décrire une catégorie ou un contexte – <i>dans le contexte de</i>, <i>dans le cas de</i>, <i>quand il s'agit de</i> → bei + Dat.",,
519,13,_____ unseren Kunden kommt das neue Design gut an.,Bei,Bei unseren Kunden kommt das neue Design gut an.,The new design is well received among our customers.,Le nouveau design est bien accueilli par nos clients.,"translation of <i>among</i> to describe a category or a context – <i>in the context of</i>, <i>in the case of</i>, <i>when it comes to</i> → bei + Dat.","traduction de <i>parmi</i> pour décrire une catégorie ou un contexte – <i>dans le contexte de</i>, <i>dans le cas de</i>, <i>quand il s'agit de</i> → bei + Dat.",,
520,13,_____ Jugendlichen ist dieses Lied sehr beliebt.,Bei,Bei Jugendlichen ist dieses Lied sehr beliebt.,This song is very popular among teenagers.,Cette chanson est très populaire parmi les adolescents.,"translation of <i>among</i> to describe a category or a context – <i>in the context of</i>, <i>in the case of</i>, <i>when it comes to</i> → bei + Dat.","traduction de <i>parmi</i> pour décrire une catégorie ou un contexte – <i>dans le contexte de</i>, <i>dans le cas de</i>, <i>quand il s'agit de</i> → bei + Dat.",,
521,13,_____ vielen Menschen führt Stress zu Schlafstörungen.,Bei,Bei vielen Menschen führt Stress zu Schlafstörungen.,"Among many people, stress leads to sleep disturbances.","Chez de nombreuses personnes, le stress entraîne des troubles du sommeil.","translation of <i>among</i> to describe a category or a context – <i>in the context of</i>, <i>in the case of</i>, <i>when it comes to</i> → bei + Dat.","traduction de <i>parmi</i> pour décrire une catégorie ou un contexte – <i>dans le contexte de</i>, <i>dans le cas de</i>, <i>quand il s'agit de</i> → bei + Dat.",,
522,13,Wähle _____ den verschiedenen Optionen.,zwischen,Wähle zwischen den verschiedenen Optionen.,Choose among the different options.,Choisissez parmi les différentes options.,translation of <i>among</i> in a context of defined options → zwischen + Dat.,traduction de <i>parmi</i> dans un contexte d'options définies → zwischen + Dat.,,
523,13,_____ den Schülern gibt es große Unterschiede.,Zwischen,Zwischen den Schülern gibt es große Unterschiede.,There are big differences among the students.,Il existe de grandes différences entre les étudiants.,translation of <i>among</i> in a context of defined options → zwischen + Dat.,traduction de <i>parmi</i> dans un contexte d'options définies → zwischen + Dat.,,
524,13,_____ den Meinungen herrscht kein klarer Konsens.,Zwischen,Zwischen den Meinungen herrscht kein klarer Konsens.,There is no clear consensus among the opinions.,Il n’y a pas de consensus clair entre les opinions.,translation of <i>among</i> in a context of defined options → zwischen + Dat.,traduction de <i>parmi</i> dans un contexte d'options définies → zwischen + Dat.,,
525,13,Es gibt große Unterschiede _____ den Kulturen. ,zwischen,Es gibt große Unterschiede zwischen den Kulturen. ,There are big differences among the cultures.,Il existe de grandes différences entre les cultures.,translation of <i>among</i> in a context of defined options → zwischen + Dat.,traduction de <i>parmi</i> dans un contexte d'options définies → zwischen + Dat.,,
526,13,Wir fördern die Zusammenarbeit _____ Unternehmen.,zwischen,Wir fördern die Zusammenarbeit zwischen Unternehmen.,We promote cooperation among companies.,Nous favorisons la coopération entre les entreprises.,translation of <i>among</i> in a context of defined options → zwischen + Dat.,traduction de <i>parmi</i> dans un contexte d'options définies → zwischen + Dat.,,
527,13,_____ gestern ist der Verkehr heute viel ruhiger.,Gegen,Gegen gestern ist der Verkehr heute viel ruhiger.,"Compared to yesterday, traffic is much calmer today.","Par rapport à hier, la circulation est beaucoup plus calme aujourd'hui.",translation of <i>compared to</i> → gegen + Acc.,traduction de <i>comparé à</i> → gegen + Acc.,,
528,13,Die neue Version ist _____ die alte deutlich benutzerfreundlicher.,gegen,Die neue Version ist gegen die alte deutlich benutzerfreundlicher.,"Compared to the old one, the new version is clearly more user-friendly.","Par rapport à l'ancienne, la nouvelle version est clairement plus conviviale.",translation of <i>compared to</i> → gegen + Acc.,traduction de <i>comparé à</i> → gegen + Acc.,,
529,13,_____ den Winter ist der Herbst noch angenehm mild.,Gegen,Gegen den Winter ist der Herbst noch angenehm mild.,"Compared to winter, autumn is still pleasantly mild.","Comparé à l’hiver, l’automne est encore agréablement doux.",translation of <i>compared to</i> → gegen + Acc.,traduction de <i>comparé à</i> → gegen + Acc.,,
530,13,Die Ergebnisse wirken _____ unsere Erwartungen überraschend gut.,gegen,Die Ergebnisse wirken gegen unsere Erwartungen überraschend gut.,The results seem surprisingly good compared to our expectations.,Les résultats semblent étonnamment bons par rapport à nos attentes.,translation of <i>compared to</i> → gegen + Acc.,traduction de <i>comparé à</i> → gegen + Acc.,,
531,13,_____ seine frühere Arbeit ist das ein großer Fortschritt.,Gegen,Gegen seine frühere Arbeit ist das ein großer Fortschritt.,"Compared to his earlier work, this is a major improvement.","Par rapport à ses travaux précédents, il s’agit d’une amélioration majeure.",translation of <i>compared to</i> → gegen + Acc.,traduction de <i>comparé à</i> → gegen + Acc.,,
532,13,Sie wurde _____ ihrer Angst befreit.,von,Sie wurde von ihrer Angst befreit.,She was freed from her fear.,Elle a été libérée de sa peur.,to indicate a separation → von + Dat.,pour indiquer une séparation → von + Dat.,,
533,13,Das Land ist nun _____ der Diktatur erlöst.,von,Das Land ist nun von der Diktatur erlöst.,The country is now liberated from the dictatorship.,Le pays est désormais libéré de la dictature.,to indicate a separation → von + Dat.,pour indiquer une séparation → von + Dat.,,
534,13,Er hat sich _____ seinen alten Gewohnheiten getrennt.,von,Er hat sich von seinen alten Gewohnheiten getrennt.,He separated himself from his old habits.,Il s'est séparé de ses vieilles habitudes.,to indicate a separation → von + Dat.,pour indiquer une séparation → von + Dat.,,
535,13,Die Patienten wurden _____ den Schmerzen befreit.,von,Die Patienten wurden von den Schmerzen befreit.,The patients were relieved of their pain.,Les patients ont été soulagés de leur douleur.,to indicate a separation → von + Dat.,pour indiquer une séparation → von + Dat.,,
536,13,Das Unternehmen distanziert sich klar _____ dieser Aussage.,von,Das Unternehmen distanziert sich klar von dieser Aussage.,The company clearly distances itself from this statement.,L'entreprise se distancie clairement de cette déclaration.,to indicate a separation → von + Dat.,pour indiquer une séparation → von + Dat.,,
537,13,Er half ihr _____ Freundlichkeit.,aus,Er half ihr aus Freundlichkeit.,He helped her out of kindness.,Il l'a aidée par gentillesse.,to indicate the motivation behind a voluntary action – <i>out of</i> → aus + Dat.,pour indiquer la motivation derrière une action volontaire – <i>par</i> → aus + Dat.,,
538,13,Sie entschied sich _____ Vernunft für diesen Job.,aus,Sie entschied sich aus Vernunft für diesen Job.,She chose this job out of reason.,Elle a choisi ce travail par raison.,to indicate the motivation behind a voluntary action – <i>out of</i> → aus + Dat.,pour indiquer la motivation derrière une action volontaire – <i>par</i> → aus + Dat.,,
539,13,_____ Respekt unterbrach er die Diskussion nicht.,Aus,Aus Respekt unterbrach er die Diskussion nicht.,"Out of respect, he didn’t interrupt the discussion.","Par respect, il n’a pas interrompu la discussion.",to indicate the motivation behind a voluntary action – <i>out of</i> → aus + Dat.,pour indiquer la motivation derrière une action volontaire – <i>par</i> → aus + Dat.,,
540,13,Er spendete Geld _____ Mitgefühl für die Opfer.,aus,Er spendete Geld aus Mitgefühl für die Opfer.,He donated money out of compassion for the victims.,Il a fait un don d’argent par compassion pour les victimes.,to indicate the motivation behind a voluntary action – <i>out of</i> → aus + Dat.,pour indiquer la motivation derrière une action volontaire – <i>par</i> → aus + Dat.,,
541,13,_____ Interesse besuchte sie das Seminar.,Aus,Aus Interesse besuchte sie das Seminar.,She attended the seminar out of interest.,Elle a assisté au séminaire par intérêt.,to indicate the motivation behind a voluntary action – <i>out of</i> → aus + Dat.,pour indiquer la motivation derrière une action volontaire – <i>par</i> → aus + Dat.,,
542,13,Er zitterte _____ Kälte.,vor,Er zitterte vor Kälte.,He was shivering from the cold.,Il tremblait de froid.,to explain the emotion behind an involuntary action – <i>out of</i> → vor + Dat.,pour expliquer l’émotion derrière une action involontaire – <i>par</i> → vor + Dat.,,
543,13,Sie weinte _____ Freude.,vor,Sie weinte vor Freude.,She cried out of joy.,Elle a pleuré de joie.,to explain the emotion behind an involuntary action – <i>out of</i> → vor + Dat.,pour expliquer l’émotion derrière une action involontaire – <i>par</i> → vor + Dat.,,
544,13,_____ Angst konnte er nicht sprechen.,Vor,Vor Angst konnte er nicht sprechen.,"Out of fear, he couldn’t speak.","Par peur, il ne pouvait pas parler.",to explain the emotion behind an involuntary action – <i>out of</i> → vor + Dat.,pour expliquer l’émotion derrière une action involontaire – <i>par</i> → vor + Dat.,,
545,13,Er wurde _____ Schreck blass.,vor,Er wurde vor Schreck blass.,He turned pale from shock.,Il est devenu pâle sous le choc.,to explain the emotion behind an involuntary action – <i>out of</i> → vor + Dat.,pour expliquer l’émotion derrière une action involontaire – <i>par</i> → vor + Dat.,,
546,13,Sie lachte _____ Erleichterung.,vor,Sie lachte vor Erleichterung.,She laughed out of relief.,Elle rit de soulagement.,to explain the emotion behind an involuntary action – <i>out of</i> → vor + Dat.,pour expliquer l’émotion derrière une action involontaire – <i>par</i> → vor + Dat.,,
547,13,_____ den erfolgreichen Abschluss des Projekts müssen alle Teammitglieder zusammenarbeiten.,Für,Für den erfolgreichen Abschluss des Projekts müssen alle Teammitglieder zusammenarbeiten.,All team members must work together to successfully complete the project.,Tous les membres de l’équipe doivent travailler ensemble pour mener à bien le projet.,to indicate a concrete goal or benefit → für + Acc.,pour indiquer un objectif ou un avantage concret → für + Acc.,,
548,13,_____ den Schutz der Umwelt sollten wir weniger Plastik verwenden.,Für,Für den Schutz der Umwelt sollten wir weniger Plastik verwenden.,"To protect the environment, we should use less plastic.","Pour protéger l’environnement, nous devrions utiliser moins de plastique.",to indicate a concrete goal or benefit → für + Acc.,pour indiquer un objectif ou un avantage concret → für + Acc.,,
