Nr,exercise,level_verb,answer,question,english,french,type,prefix,root_german,root_english,root_french
1943,104,C2,verschonen,,,,2. prefix,,,,
1944,104,C2,verschärfen,,,,2. prefix,,,,
1945,104,C2,verschönern,,,,2. prefix,,,,
1946,104,C2,versenden,,,,2. prefix,,,,
1947,104,C2,versenken,,,,2. prefix,,,,
1948,104,C2,versinken,,,,2. prefix,,,,
1949,104,C2,versperren,,,,2. prefix,,,,
1950,104,C2,verspielen,,,,2. prefix,,,,
1951,104,C2,verspüren,,,,2. prefix,,,,
1952,104,C2,verstauen,,,,2. prefix,,,,
1953,104,C2,versteigern,,,,2. prefix,,,,
1954,104,C2,versterben,,,,2. prefix,,,,
1955,104,C2,verstossen,,,,2. prefix,,,,
1956,104,C2,verstreichen,,,,2. prefix,,,,
1957,104,C2,verständigen,,,,2. prefix,,,,
1958,104,C2,versäumen,,,,2. prefix,,,,
1959,104,C2,vertagen,,,,2. prefix,,,,
1960,104,C2,vertragen,,,,2. prefix,,,,
1961,104,C2,verunsichern,,,,2. prefix,,,,
1962,104,C2,vervollständigen,,,,2. prefix,,,,
1963,104,C2,verwehren,,,,2. prefix,,,,
1964,104,C2,verwerfen,,,,2. prefix,,,,
1965,104,C2,verwerten,,,,2. prefix,,,,
1966,104,C2,verwickeln,,,,2. prefix,,,,
1967,104,C2,verwundern,,,,2. prefix,,,,
1968,104,C2,verwöhnen,,,,2. prefix,,,,
1969,104,C2,verzaubern,,,,2. prefix,,,,
1970,104,C2,verzeichnen,,,,2. prefix,,,,
1971,104,C2,verzieren,,,,2. prefix,,,,
1972,104,C2,verzögern,,,,2. prefix,,,,
1973,104,C2,verüben,,,,2. prefix,,,,
1974,104,C2,verzweifeln,,to despair,désespérer,2. prefix,,,,
1975,104,C2,vergiften,,to poison,empoisonner,2. prefix,,,,
1976,104,C2,zerbrechen,,,,2. prefix,,,,
1977,104,C2,zerlegen,,,,2. prefix,,,,
1978,104,C2,zertifizieren,,,,2. prefix,,,,
1979,104,C2,durchbrechen,,,,2. prefix,,,,
1980,104,C2,durchdringen,,,,2. prefix,,,,
1981,104,C2,durchgehen,,,,2. prefix,,,,
1982,104,C2,durchhalten,,,,2. prefix,,,,
1983,104,C2,durchlaufen,,,,2. prefix,,,,
1984,104,C2,durchlesen,,,,2. prefix,,,,
1985,104,C2,durchsuchen,,,,2. prefix,,,,
1986,104,C2,durchziehen,,,,2. prefix,,,,
1987,104,C2,überfallen,,"to attack, to raid (a bank), to invade (a country)","attaquer, piller (une banque), envahir (un pays)",2. prefix,,,,
1988,104,C2,überarbeiten,,,,2. prefix,,,,
1989,104,C2,überbieten,,,,2. prefix,,,,
1990,104,C2,überbringen,,,,2. prefix,,,,
1991,104,C2,überbrücken,,,,2. prefix,,,,
1992,104,C2,überdenken,,,,2. prefix,,,,
1993,104,C2,übereinstimmen,,,,2. prefix,,,,
1994,104,C2,überfordern,,,,2. prefix,,,,
1995,104,C2,überführen,,,,2. prefix,,,,
1996,104,C2,übergehen,,,,2. prefix,,,,
1997,104,C2,überragen,,,,2. prefix,,,,
1998,104,C2,überreden,,,,2. prefix,,,,
1999,104,C2,überschlagen,,,,2. prefix,,,,
2000,104,C2,überschreiben,,,,2. prefix,,,,
2001,104,C2,übersehen,,,,2. prefix,,,,
2002,104,C2,überspringen,,,,2. prefix,,,,
2003,104,C2,überstehen,,,,2. prefix,,,,
2004,104,C2,übersteigen,,,,2. prefix,,,,
2005,104,C2,übertreffen,,,,2. prefix,,,,
2006,104,C2,überwiegen,,,,2. prefix,,,,
2007,104,C2,überwältigen,,,,2. prefix,,,,
2008,104,C2,überziehen,,,,2. prefix,,,,
2009,104,C2,umbenennen,,,,2. prefix,,,,
2010,104,C2,umgestalten,,,,2. prefix,,,,
2011,104,C2,umleiten,,,,2. prefix,,,,
2012,104,C2,umrahmen,,,,2. prefix,,,,
2013,104,C2,umschreiben,,,,2. prefix,,,,
2014,104,C2,umsehen,,,,2. prefix,,,,
2015,104,C2,umwandeln,,,,2. prefix,,,,
2016,104,C2,unterbinden,,,,2. prefix,,,,
2017,104,C2,unterbreiten,,,,2. prefix,,,,
2018,104,C2,unterbringen,,,,2. prefix,,,,
2019,104,C2,unterdrücken,,,,2. prefix,,,,
2020,104,C2,untergehen,,,,2. prefix,,,,
2021,104,C2,unterlassen,,,,2. prefix,,,,
2022,104,C2,unterlaufen,,,,2. prefix,,,,
2023,104,C2,untermauern,,,,2. prefix,,,,
2024,104,C2,untersagen,,,,2. prefix,,,,
2025,104,C2,unterschätzen,,,,2. prefix,,,,
2026,104,C2,unterstellen,,,,2. prefix,,,,
2027,104,C2,unterteilen,,,,2. prefix,,,,
2028,104,C2,unterwerfen,,,,2. prefix,,,,
2029,104,C2,unterziehen,,,,2. prefix,,,,
2030,104,C2,abhauen,,"to cut off (cutting weapon), to do a runner, to piss off","couper (arme tranchante), faire fuir, énerver",2. prefix,,,,
2031,104,C2,abkommen,,,,2. prefix,,,,
2032,104,C2,abtrennen,,to detach,se détacher,2. prefix,,,,
2033,104,C2,abbringen,,to dissuade,dissuader,2. prefix,,,,
2034,104,C2,anlügen,,"to lie to, to tell someone a lie","mentir à quelqu'un, dire un mensonge à quelqu'un",2. prefix,,,,
2035,104,C2,anscheinen,,,,2. prefix,,,,
2036,104,C2,anhängen,,to attach,attacher,2. prefix,,,,
2037,104,C2,einsperren,,"to lock up, to imprison","enfermer, emprisonner",2. prefix,,,,
2038,104,C2,einatmen,,,,2. prefix,,,,
2039,104,C2,einbilden,,,,2. prefix,,,,
2040,104,C2,herschieben,,,,2. prefix,,,,
2041,104,C2,hervorragen,,,,2. prefix,,,,
2042,104,C2,hervorwagen,,,,2. prefix,,,,
2043,104,C2,herausbekommen,,,,2. prefix,,,,
2044,104,C2,nachsehen,,"to chech back, to peek, to look something up","vérifier, jeter un coup d'œil, chercher quelque chose",2. prefix,,,,
2045,104,C2,vorbeireiten,,,,2. prefix,,,,
2046,104,C2,vorschlafen,,,,2. prefix,,,,
2047,104,C2,zurückbringen,,"to return something, to restore","rendre quelque chose, restaurer",2. prefix,,,,
2048,104,C2,beglücken,,to make happy,rendre heureux,2. prefix,,,,
2049,104,C2,befreunden,,to befriend (refl.),se lier d'amitié (réfl.),2. prefix,,,,
2050,104,C2,beglückwünschen,,"to congratulate, to felicitate","féliciter, féliciter",2. prefix,,,,
2051,104,C2,bescheissen,,"to deceive someone, to screw someone","tromper quelqu'un, arnaquer quelqu'un",2. prefix,,,,
2052,104,C2,beben,,,,2. prefix,,,,
2053,104,C2,bellen,,,,2. prefix,,,,
2054,104,C2,befehligen,,to command,commander,2. prefix,,,,
2055,104,C2,bewachen,,to guard,garder,2. prefix,,,,
2056,104,C2,entbehren,,,,2. prefix,,,,
2057,104,C2,entgegenen,,,,2. prefix,,,,
2058,104,C2,ersehen,,,,2. prefix,,,,
2059,104,C2,ersuchen,,,,2. prefix,,,,
2060,104,C2,genieren,,,,2. prefix,,,,
2061,104,C2,verbrechen,,to commit (a crime),commettre (un crime),2. prefix,,,,
2062,104,C2,verarschen,,"to trick, to fool","tromper, duper",2. prefix,,,,
2063,104,C2,verfluchen,,to curse,maudire,2. prefix,,,,
2064,104,C2,versauen,,"to mess something up, to butcher something, to cock something up","gâcher quelque chose, massacrer quelque chose, faire foirer quelque chose",2. prefix,,,,
2065,104,C2,vermasseln,,"to screw up, to botch, to goof, to muddle","faire une erreur, bâcler, faire une gaffe, embrouiller",2. prefix,,,,
2066,104,C2,verprügeln,,"to beat someone up, to wallop","frapper quelqu'un, lui donner une claque",2. prefix,,,,
2067,104,C2,verscheiden,,,,2. prefix,,,,
2068,104,C2,verschilfen,,,,2. prefix,,,,
2069,104,C2,verschneien,,,,2. prefix,,,,
2070,104,C2,verwehen,,,,2. prefix,,,,
2071,104,C2,verachten,,,,2. prefix,,,,
2072,104,C2,verkommen,,,,2. prefix,,,,
2073,104,C2,vermehren,,,,2. prefix,,,,
2074,104,C2,verheimlichen,,to conceal,dissimuler,2. prefix,,,,
2075,104,C2,zerfahren,,,,2. prefix,,,,
2076,104,C2,durchmachen,,"to go through, to endure, to undergo, to finish, to stay up all night","traverser, endurer, subir, finir, rester éveillé toute la nuit",2. prefix,,,,
2077,104,C2,durchmessen,,,,2. prefix,,,,
2078,104,C2,übereinkommen,,,,2. prefix,,,,
2079,104,C2,überfragen,,,,2. prefix,,,,
2080,104,C2,überliegen,,,,2. prefix,,,,
2081,104,C2,überschreien,,,,2. prefix,,,,
2082,104,C2,umrühen,,to stir,remuer,2. prefix,,,,
2083,104,C2,veräußern,,,,2. prefix,,,,
2084,104,C2,zusammenstoßen,,,,2. prefix,,,,
2085,104,C2,erschießen,,to shoot dead,tuer par balle,2. prefix,,,,
2086,104,C2,anschießen,,"to shoot along, to shoot someone","tirer sur quelqu'un, tirer sur quelqu'un",2. prefix,,,,
2087,3,A1,anziehen,,"to get dressed, to put on, to dress someone, to attract, to pull","s'habiller, mettre, habiller quelqu'un, attirer, tirer",3. no help,an,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer"
2088,3,A1,anrufen,,"to call by telephone, to call on (someone)",appeler par téléphone,3. no help,an,rufen,"to call, to shout, to summon","appeler, crier, convoquer"
2089,3,A1,anfangen,,to begin something new,commencer quelque chose de nouveau,3. no help,an,fangen,to catch,attraper
2090,3,A1,aufstehen,,"to get up, to be open (e.g. a window, door)","se lever, être ouvert (par exemple une fenêtre, une porte)",3. no help,auf,stehen,"to stand, to be, to appear","être debout, apparaître"
2091,3,A1,aufhören,,"to stop, to cease an activity or process","arrêter, cesser une activité ou un processus",3. no help,auf,hören,"to hear, to listen to","entendre, écouter"
2092,3,A1,bestimmen,,to determine,déterminer,3. no help,be,stimmen,"to be true, to vote, to tune","être vrai, voter, s'accorder"
2093,3,A1,bezahlen,,"to pay, to pay someone","payer, payer quelqu'un",3. no help,be,zahlen,"to pay (for something), to atone for","payer (pour quelque chose), expier"
2094,3,A1,benutzen,,to use (something),utiliser (quelque chose),3. no help,be,nutzen,"to use, to utilize, to benefit from","utiliser, exploiter, bénéficier de"
2095,3,A1,erzählen,,"to tell, to narrate","raconter, narrer",3. no help,er,zählen,to count,compter
2096,3,A1,erklären,,"to explain, to declare, to assert","expliquer, déclarer, affirmer",3. no help,er,klären,"to clarify, to resolve, to clear up","clarifier, résoudre, éclaircir"
2097,3,A1,verstehen,,"to understand, to get along with someone","comprendre, s'entendre avec quelqu'un",3. no help,ver,stehen,"to stand, to be, to appear","être debout, apparaître"
2098,3,A1,versuchen,,"to try, to attempt","essayer, tenter",3. no help,ver,suchen,"to seek, to search","chercher, rechercher"
2099,3,A1,verkaufen,,to sell,vendre,3. no help,ver,kaufen,to buy,acheter
2100,3,A1,übersetzen,,to translate,traduire,3. no help,über,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.)
2101,6,A2,ansehen,,"to look at something, to watch something","regarder quelque chose, observer quelque chose",3. no help,an,sehen,"to see, to realise","voir, se rendre compte"
2102,6,A2,einladen,,"to invite, to load (something into a container)","inviter, charger (quelque chose dans un conteneur)",3. no help,ein,laden,"to load, to charge, to invite","charger, inviter"
2103,6,A2,besuchen,,to visit,visiter,3. no help,be,suchen,"to seek, to search","chercher, rechercher"
2104,6,A2,ankommen,,"to arrive, to depend on something","arriver, dépendre de quelque chose",3. no help,an,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire"
2105,6,A2,anmelden,,"to register, to sign up",s'inscrire,3. no help,an,melden,"to report, to register","signaler, enregistrer"
2106,6,A2,annehmen,,"to accept, to assume (a hypothesis), to receive, to suppose","accepter, supposer (une hypothèse), recevoir",3. no help,an,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)"
2107,6,B1,aufmachen,,"to open (coll.), to head or move off (refl.), to undo something","ouvrir (familier), se diriger ou s'éloigner (réfl.), défaire quelque chose",3. no help,auf,machen,"to make, to prepare (e.g. food), to do","faire, préparer (par exemple de la nourriture)"
2108,6,B2,einschlafen,,to fall asleep,s'endormir,3. no help,ein,schlafen,to sleep,dormir
2109,6,A2,einkaufen,,to shop,"faire les courses, faire du shopping",3. no help,ein,kaufen,to buy,acheter
2110,6,A2,vorstellen,,"to introduce, to present oneself (refl.), to move forward, to represent","introduire, se présenter (réfl.), représenter",3. no help,vor,stellen,"to position, to put, to catch","positionner, mettre"
2111,6,A2,besitzen,,"to own, to possess, to have","posséder, avoir",3. no help,be,sitzen,"to be seated, to stay, to fit (of clothing)","être assis, rester"
2112,6,A2,behalten,,to keep,garder,3. no help,be,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder"
2113,6,A2,befinden,,"to be located (refl.), to find, to consider (formal)","être localisé (réfl.), trouver, considérer (formel)",3. no help,be,finden,to find,trouver
2114,6,A2,empfehlen,,"to recommend, to suggest","recommander, suggérer",3. no help,emp,fehlen,"to lack, to be absent or missing","manquer, être absent ou manquant"
2115,6,A2,entscheiden,,to decide,décider,3. no help,ent,scheiden,"to separate, to divorce, to part","se séparer, divorcer"
2116,6,A2,enthalten,,"to contain, to include","contenir, inclure",3. no help,ent,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder"
2117,6,A2,erkennen,,"to recognise, to realise","reconnaître, réaliser",3. no help,er,kennen,"to know, to be acquainted with, to be familiar with","connaître, être familier avec"
2118,6,A2,erwarten,,"to expect, to await",s'attendre à,3. no help,er,warten,"to wait, to maintain (e.g. a car)","attendre, entretenir (par exemple une voiture)"
2119,6,A2,verlassen,,"to leave, to trust with something (refl.), to pass away, to die","partir, confier quelque chose (réfl.), décéder, mourir",3. no help,ver,lassen,"to let, to leave, to allow","laisser, quitter, permettre"
2120,6,A2,versprechen,,"to promise, to hope for, to misspeak","promettre, espérer",3. no help,ver,sprechen,to speak,parler (une langue)
2121,6,A2,verändern,,"to alter, to change something","modifier, changer quelque chose",3. no help,ver,ändern,to change (one's personality or behavior),changer (sa personnalité ou son comportement)
2122,6,A2,verpassen,,"to miss (to be late for something, e.g. a train)","manquer (être en retard pour quelque chose, par exemple un train)",3. no help,ver,passen,"to fit, to suit","s'adapter, convenir"
2123,6,B1,verbieten,,"to forbid, to prohibit","interdire, prohiber",3. no help,ver,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)","offrir, enchérir, surgir, se produire (d'une opportunité) (réfl.)"
2124,6,A2,übernehmen,,to take over,"prendre le relais, prendre le contrôle",3. no help,über,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)"
2125,15,B1,abholen,,"to pick up, to collect","ramasser, collecter",3. no help,ab,holen,to fetch,aller chercher
2126,15,B1,anbieten,,"to offer, to provide, to propose","offrir, fournir, proposer",3. no help,an,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)","offrir, enchérir, surgir, se produire (d'une opportunité) (réfl.)"
2127,15,B1,aufpassen,,"to pay attention, to watch out, to take care","faire attention, prendre soin",3. no help,auf,passen,"to fit, to suit","s'adapter, convenir"
2128,15,B1,zurückgehen,,"to go back, to decrease, to decline","revenir en arrière, diminuer, décliner",3. no help,zurück,gehen,"to go, to leave, to work, to function (coll.)","aller, partir, fonctionner (familier)"
2129,15,B1,mitnehmen,,"to take along, to take with",emporter,3. no help,mit,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)"
2130,15,B1,mitbringen,,"to bring along, to bring with",apporter,3. no help,mit,bringen,"to bring, to take, to lead","apporter, prendre, conduire"
2131,15,A2,mitteilen,,"to inform, to notify, to communicate","informer, notifier, communiquer",3. no help,mit,teilen,"to split, to share, to divide","diviser, partager"
2132,15,B1,vorschlagen,,"to suggest, to propose","suggérer, proposer",3. no help,vor,schlagen,"to hit, to beat, to strike, to defeat","frapper, battre, vaincre"
2133,15,B1,beraten,,"to advise, to consult, to discuss","conseiller, consulter, discuter",3. no help,be,raten,"to advise, to recommend, to guess","conseiller, recommander, deviner"
2134,15,B1,bewerben,,"to apply (for a job, position)","postuler (à un emploi, un poste)",3. no help,be,werben,"to advertise, to recruit","faire de la publicité, recruter"
2135,15,B1,beenden,,"to finish, to end, to complete","finir, terminer, achever",3. no help,be,enden,"to end, to finish, to conclude","terminer, achever, conclure"
2136,15,B1,ersetzen,,"to replace, to substitute, to compensate for","remplacer, substituer, compenser",3. no help,er,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.)
2137,15,B1,erstellen,,"to create, to prepare, to compile","créer, préparer, compiler",3. no help,er,stellen,"to position, to put, to catch","positionner, mettre"
2138,15,B1,vertreten,,"to represent, to advocate, to stand in for","représenter, défendre, se substituer",3. no help,ver,treten,"to step, to kick, to enter","marcher, donner un coup de pied, entrer"
2139,15,B1,überlegen,,"to consider, to think about, to reflect","considérer, penser à, réfléchir",3. no help,über,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger"
2140,15,B1,überprüfen,,"to check, to examine, to verify","vérifier, examiner",3. no help,über,prüfen,"to check, to examine, to test, to investigate","vérifier, examiner, tester, enquêter"
2141,15,B1,abgeben,,"to submit, to hand in, to deliver","soumettre, remettre, livrer",3. no help,ab,geben,to give,donner
2142,15,B1,absagen,,"to cancel, to call off",annuler,3. no help,ab,sagen,"to say, to tell","dire, raconter"
2143,15,B1,abschließen,,"to complete, to conclude, to lock","compléter, conclure, verrouiller",3. no help,ab,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure"
2144,15,B1,ablenken,,"to distract, to divert, to steer away","distraire, détourner, éloigner",3. no help,ab,lenken,"to steer, to direct, to guide","diriger, orienter, guider"
2145,16,B1,abnehmen,,"to decrease, to lose weight, to remove","diminuer, perdre du poids, éliminer",3. no help,ab,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)"
2146,16,B1,anschauen,,"to look at, to behold, to take a look at, to watch (Bayern and Austria)","regarder, contempler, jeter un coup d'œil à, observer (Bayern et Autriche)",3. no help,an,schauen,to look at (Bayern and Austria),regarder (Bayern et Autriche)
2147,16,B1,anfassen,,"to touch, to handle","toucher, manipuler",3. no help,an,fassen,"to grasp, to seize, to capture, to comprehend","saisir, capturer, comprendre"
2148,16,B1,aufwachsen,,"to grow up, to be raised","grandir, être élevé",3. no help,auf,wachsen,"to grow, to increase","grandir, augmenter"
2149,16,B1,aufnehmen,,"to record, to take in, to absorb, to include","enregistrer, assimiler, absorber, inclure",3. no help,auf,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)"
2150,16,B1,einsetzen,,"to use, to apply, to deploy, to insert","utiliser, appliquer, déployer, insérer",3. no help,ein,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.)
2151,16,B1,zustimmen,,"to agree, to consent, to approve","être d'accord, consentir, approuver",3. no help,zu,stimmen,"to be true, to vote, to tune","être vrai, voter, s'accorder"
2152,16,B1,zubereiten,,"to prepare (food), to cook","préparer (de la nourriture), cuisiner",3. no help,zu,bereiten,"to prepare, to cause","préparer, provoquer"
2153,16,B1,zunehmen,,"to increase, to gain (weight), to rise","augmenter, prendre (du poids), s'élever",3. no help,zu,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)"
2154,16,B1,zugeben,,"to admit, to confess, to add","admettre, confesser, ajouter",3. no help,zu,geben,to give,donner
2155,16,B1,zurückkommen,,"to come back, to return","revenir, retourner",3. no help,zurück,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire"
2156,16,B1,herausfinden,,"to find out, to discover, to figure out","découvrir, comprendre",3. no help,heraus,finden,to find,trouver
2157,16,B1,hervorheben,,"to emphasize, to highlight, to stress","souligner, mettre en valeur, insister",3. no help,hervor,heben,"to lift, to raise","soulever, élever"
2158,16,B1,herstellen,,"to produce, to make, to establish","produire, fabriquer, établir",3. no help,her,stellen,"to position, to put, to catch","positionner, mettre"
2159,16,B1,mitmachen,,"to participate, to join in, to go along","participer, se joindre à, accompagner",3. no help,mit,machen,"to make, to prepare (e.g. food), to do","faire, préparer (par exemple de la nourriture)"
2160,16,B1,vorhaben,,"to intend, to plan, to be up to","avoir l'intention de, planifier, être à la hauteur",3. no help,vor,haben,"to have, to contain","avoir, contenir"
2161,16,B1,vorbereiten,,"to prepare, to get ready",se préparer,3. no help,vor,bereiten,"to prepare, to cause","préparer, provoquer"
2162,16,B1,vorgeben,,"to claim, to pretend, to set (a pace)","revendiquer, prétendre, donner (un rythme)",3. no help,vor,geben,to give,donner
2163,16,B1,beschreiben,,"to describe, to depict","décrire, représenter",3. no help,be,schreiben,to write,écrire
2164,16,B1,bestellen,,"to order, to reserve","commander, réserver",3. no help,be,stellen,"to position, to put, to catch","positionner, mettre"
2165,17,B1,beweisen,,"to prove, to demonstrate","prouver, démontrer",3. no help,be,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer"
2166,17,B1,bestehen,,"to pass, to exist, to consist, to insist","passer, exister, consister, insister",3. no help,be,stehen,"to stand, to be, to appear","être debout, apparaître"
2167,17,B1,begründen,,"to justify, to explain, to establish","justifier, expliquer, établir",3. no help,be,gründen,"to found, to establish, to start","fonder, établir, démarrer"
2168,17,B1,besprechen,,"to discuss, to talk about","discuter, parler de",3. no help,be,sprechen,to speak,parler (une langue)
2169,17,B1,beantworten,,"to answer, to reply to","répondre, répliquer à",3. no help,be,antworten,"to answer, to reply","répondre, répliquer"
2170,17,B1,empfangen,,"to receive, to welcome, to greet","recevoir, accueillir, saluer",3. no help,emp,fangen,to catch,attraper
2171,17,B1,empfinden,,"to feel, to sense, to perceive","sentir, pressentir, percevoir",3. no help,emp,finden,to find,trouver
2172,17,B1,entdecken,,"to discover, to find","découvrir, trouver",3. no help,ent,decken,"to cover, to set (a table), to hedge","couvrir, dresser (une table), se protéger"
2173,17,B1,entstehen,,"to arise, to develop, to come into being","surgir, se développer, naître",3. no help,ent,stehen,"to stand, to be, to appear","être debout, apparaître"
2174,17,B1,entsprechen,,"to correspond, to match, to comply with","correspondre, égaler, se conformer à",3. no help,ent,sprechen,to speak,parler (une langue)
2175,17,B1,entziehen,,"to withdraw, to remove, to deprive","retirer, enlever, priver",3. no help,ent,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer"
2176,17,B2,erwachsen,,"to grow up, to arise, to spring up, to accrue","grandir, surgir, jaillir, s'accumuler",3. no help,er,wachsen,"to grow, to increase","grandir, augmenter"
2177,17,B1,erhalten,,"to receive, to get, to obtain, to preserve","recevoir, obtenir, acquérir, préserver",3. no help,er,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder"
2178,17,B1,erleben,,"to experience, to live through","expérimenter, vivre",3. no help,er,leben,to live,vivre
2179,17,B1,erholen,,"to recover, to recuperate","récupérer, se rétablir",3. no help,er,holen,to fetch,aller chercher
2180,17,B1,erfahren,,"to learn, to find out, to experience","apprendre, découvrir, expérimenter",3. no help,er,fahren,"to go (by vehicle), to leave, to drive","aller (en véhicule), partir, conduire"
2181,17,B1,erfinden,,"to invent, to make up, to fabricate","inventer, fabriquer",3. no help,er,finden,to find,trouver
