Nr,exercise,question,answer,combination,german,english,french,gender_english,gender_french,expression,case_preposition,explanation_english,explanation_french,verb,level verb NVV,level verb root,level chatgpt,NVV,is_NVV,root_verb
333,23,"Bitte nehmen Sie _____, dass sich die Bedingungen des Vertrags ab dem nächsten Monat ändern.",zur Kenntnis,zur Kenntnis nehmen,"Bitte nehmen Sie zur Kenntnis, dass sich die Bedingungen des Vertrags ab dem nächsten Monat ändern.",Please take note that the terms of the contract will change starting next month.,Veuillez prendre note que les conditions du contrat changeront à partir du mois prochain.,,,,,"etw.<sup>Acc</sup> zur Kenntnis nehmen = to take note of something, to take notice of something, to recognise","etw.<sup>Acc</sup> zur Kenntnis nehmen = prendre note, prendre connaissance de quelque chose",,,,,,,
334,23,"Die Regierung nahm die Kritik der Expertengruppe _____, reagierte jedoch erst Wochen später darauf.",zur Kenntnis,zur Kenntnis nehmen,"Die Regierung nahm die Kritik der Expertengruppe zur Kenntnis, reagierte jedoch erst Wochen später darauf.",The government took note of the expert group's criticism but did not respond until weeks later.,"Le gouvernement a pris note des critiques du groupe d’experts, mais n’y a réagi que plusieurs semaines plus tard.",,,,,"etw.<sup>Acc</sup> zur Kenntnis nehmen = to take note of something, to take notice of something, to recognise","etw.<sup>Acc</sup> zur Kenntnis nehmen = prendre note, prendre connaissance de quelque chose",,,,,,,
335,23,"Der neue Kunde stellt hohe _____ an die Qualität unserer Produkte, was zusätzliche Kontrollen erforderlich macht.",Ansprüche,Ansprüche stellen,"Der neue Kunde stellt hohe Ansprüche an die Qualität unserer Produkte, was zusätzliche Kontrollen erforderlich macht.","The new client places high demands on the quality of our products, which requires additional inspections.","Le nouveau client pose des exigences élevées quant à la qualité de nos produits, ce qui nécessite des contrôles supplémentaires.",,,,,"Ansprüche stellen = to claim, to make demands","Ansprüche stellen = réclamer, présenter des réclamations",,,,,,,
336,23,"In der aktuellen Position kann sie endlich die _____ stellen, die ihrer Erfahrung und Qualifikation entsprechen.",Ansprüche,Ansprüche stellen,"In der aktuellen Position kann sie endlich die Ansprüche stellen, die ihrer Erfahrung und Qualifikation entsprechen.","In her current position, she can finally make demands that correspond to her experience and qualifications.","Dans son poste actuel, elle peut enfin formuler des exigences qui correspondent à son expérience et à ses qualifications.",,,,,"Ansprüche stellen = to claim, to make demands","Ansprüche stellen = réclamer, présenter des réclamations",,,,,,,
337,23,"Die Präsentation machte einen starken _____ auf das Publikum, weil sie komplexe Inhalte klar und überzeugend erklärte.",Eindruck,einen Eindruck machen,"Die Präsentation machte einen starken Eindruck auf das Publikum, weil sie komplexe Inhalte klar und überzeugend erklärte.",The presentation made a strong impression on the audience because it explained complex topics clearly and convincingly.,"La présentation a fait une forte impression sur le public, car elle expliquait des sujets complexes de manière claire et convaincante.",,,,,einen Eindruck machen = to make an impression,einen Eindruck machen = faire bonne impression,,,,,,,
338,23,"Sein ruhiges, aber bestimmtes Auftreten machte auf die Geschäftsleitung einen äußerst professionellen _____.",Eindruck,einen Eindruck machen,"Sein ruhiges, aber bestimmtes Auftreten machte auf die Geschäftsleitung einen äußerst professionellen Eindruck.",His calm yet assertive demeanor made an extremely professional impression on the management.,Son attitude calme mais déterminée a donné une impression extrêmement professionnelle à la direction.,,,,,einen Eindruck machen = to make an impression,einen Eindruck machen = faire bonne impression,,,,,,,
339,23,Während des Besuchs konnte die Delegation einen ersten _____ von den geplanten Reformen gewinnen.,Eindruck,einen Eindruck gewinnen,Während des Besuchs konnte die Delegation einen ersten Eindruck von den geplanten Reformen gewinnen.,"During the visit, the delegation was able to gain a first impression of the planned reforms.","Lors de la visite, la délégation a pu se faire une première idée des réformes prévues.",,,,,einen Eindruck gewinnen = to gain an impression,einen Eindruck gewinnen = se faire une impression,,,,,,,
340,23,"Um einen realistischen _____ vom Arbeitsalltag zu gewinnen, hospitierte sie mehrere Tage in der Abteilung.",Eindruck,einen Eindruck gewinnen,"Um einen realistischen Eindruck vom Arbeitsalltag zu gewinnen, hospitierte sie mehrere Tage in der Abteilung.","To gain a realistic impression of the daily work routine, she spent several days observing the department.","Pour se faire une idée réaliste du quotidien professionnel, elle a passé plusieurs jours en observation dans le service.",,,,,einen Eindruck gewinnen = to gain an impression,einen Eindruck gewinnen = se faire une impression,,,,,,,
341,24,Neue Maßnahmen zur Verbesserung des Arbeitsklimas _____ zur Diskussion.,stehen,zur Diskussion stehen,Neue Maßnahmen zur Verbesserung des Arbeitsklimas stehen zur Diskussion.,New measures to improve the working atmosphere are up for debate.,De nouvelles mesures pour améliorer l’ambiance de travail sont en discussion.,,,,,zur Diskussion stehen = to be up to discuss,zur Diskussion stehen = être en discussion,,,,,,,
342,24,"Das Thema Datenschutz _____ seit Wochen zur Diskussion, aber eine Entscheidung wurde noch nicht getroffen.",steht,zur Diskussion stehen,"Das Thema Datenschutz steht seit Wochen zur Diskussion, aber eine Entscheidung wurde noch nicht getroffen.","The issue of data protection has been up for discussion for weeks, but no decision has been made yet.","Le sujet de la protection des données est en discussion depuis des semaines, mais aucune décision n’a encore été prise.",,,,,zur Diskussion stehen = to be up to discuss,zur Diskussion stehen = être en discussion,,,,,,,
343,24,"Sie hat zur Sprache _____, dass viele Mitarbeiter sich überlastet fühlen.",gebracht,zur Sprache bringen,"Sie hat zur Sprache gebracht, dass viele Mitarbeiter sich überlastet fühlen.",She brought up that many employees feel overworked.,Elle a évoqué que beaucoup d’employés se sentent surchargés.,,,,,jdn./etw.<sup>Acc</sup> zur Sprache bringen = to bring something up,"jdn./etw.<sup>Acc</sup> zur Sprache bringen = aborder un sujet, évoquer un sujet",,,,,,,
344,24,"Wenn du ein Problem hast, solltest du es frühzeitig zur Sprache _____, bevor es größer wird.",bringen,zur Sprache bringen,"Wenn du ein Problem hast, solltest du es frühzeitig zur Sprache bringen, bevor es größer wird.","If you have a problem, you should bring it up early before it grows.","Si tu as un problème, tu devrais l’aborder tôt avant qu’il ne s’aggrave.",,,,,jdn./etw.<sup>Acc</sup> zur Sprache bringen = to bring something up,"jdn./etw.<sup>Acc</sup> zur Sprache bringen = aborder un sujet, évoquer un sujet",,,,,,,
345,24,"Der Vorfall _____ erst zur Sprache, als die Presse darüber berichtet hatte.",kam,zur Sprache kommen,"Der Vorfall kam erst zur Sprache, als die Presse darüber berichtet hatte.",The incident only came up once the press had reported on it.,L’incident n’a été abordé qu’après que la presse en a parlé.,,,,,zur Sprache kommen = to come up,"zur Sprache kommen = être évoqué, être abordé",,,,,,,
346,24,"Manche Probleme _____ erst zur Sprache, wenn jemand den Mut hat, sie anzusprechen.",kommen,zur Sprache kommen,"Manche Probleme kommen erst zur Sprache, wenn jemand den Mut hat, sie anzusprechen.",Some problems only come up when someone has the courage to address them.,Certains problèmes ne sont abordés que lorsque quelqu’un a le courage de les évoquer.,,,,,zur Sprache kommen = to come up,"zur Sprache kommen = être évoqué, être abordé",,,,,,,
347,24,"Wir wollen mehrere Möglichkeiten zur Diskussion _____, bevor wir eine Entscheidung treffen.",stellen,zur Diskussion stellen,"Wir wollen mehrere Möglichkeiten zur Diskussion stellen, bevor wir eine Entscheidung treffen.",We want to present several options for discussion before making a decision.,Nous voulons soumettre plusieurs options à la discussion avant de prendre une décision.,,,,,etw.<sup>Acc</sup> zur Diskussion stellen = to put up for discussion,etw.<sup>Acc</sup> zur Diskussion stellen = soumettre à la discussion,,,,,,,
348,24,"Der Bericht wurde offiziell zur Diskussion _____, damit alle Beteiligten Stellung nehmen können.",gestellt,zur Diskussion stellen,"Der Bericht wurde offiziell zur Diskussion gestellt, damit alle Beteiligten Stellung nehmen können.",The report was officially put up for debate so that all parties can comment.,Le rapport a été officiellement soumis à la discussion afin que toutes les parties puissent donner leur avis.,,,,,etw.<sup>Acc</sup> zur Diskussion stellen = to put up for discussion,etw.<sup>Acc</sup> zur Diskussion stellen = soumettre à la discussion,,,,,,,
349,24,"Die Jury _____ eine sorgfältige Auswahl, um Kandidatinnen und Kandidaten mit unterschiedlichem Hintergrund einzubeziehen.",traf,eine Auswahl treffen,"Die Jury traf eine sorgfältige Auswahl, um Kandidatinnen und Kandidaten mit unterschiedlichem Hintergrund einzubeziehen.",The jury made a careful selection to include candidates with different backgrounds.,Le jury a fait une sélection soigneuse afin d’inclure des candidats issus de milieux différents.,,,,,eine Auswahl treffen = to make a selection,eine Auswahl treffen = faire une selection,,,,,,,
350,24,"Um die Kosten zu senken, muss das Unternehmen eine strenge Auswahl _____, welche Projekte weiterhin finanziert werden.",treffen,eine Auswahl treffen,"Um die Kosten zu senken, muss das Unternehmen eine strenge Auswahl treffen, welche Projekte weiterhin finanziert werden.","To reduce costs, the company must make a strict selection of which projects will continue to receive funding.","Pour réduire les coûts, l’entreprise doit faire une sélection stricte des projets qui continueront à être financés.",,,,,eine Auswahl treffen = to make a selection,eine Auswahl treffen = faire une selection,,,,,,,
351,24,"Diplomaten beider Länder _____ tagelang Verhandlungen, um eine Eskalation des Konflikts zu verhindern.",führten,Verhandlungen führen,"Diplomaten beider Länder führten tagelang Verhandlungen, um eine Eskalation des Konflikts zu verhindern.",Diplomats from both countries conducted negotiations for days to prevent the conflict from escalating.,Des diplomates des deux pays ont mené des négociations pendant plusieurs jours pour éviter une escalade du conflit.,,,,,"Verhandlungen führen = to negociate, to conduct negotiations","Verhandlungen führen = méner des négociations, négocier",,,,,,,
352,24,"Bevor wir einen Vertrag unterschreiben, sollten wir klare Verhandlungen _____, damit alle Bedingungen eindeutig festgelegt sind.",führen,Verhandlungen führen,"Bevor wir einen Vertrag unterschreiben, sollten wir klare Verhandlungen führen, damit alle Bedingungen eindeutig festgelegt sind.","Before signing a contract, we should conduct clear negotiations to ensure all terms are clearly defined.","Avant de signer un contrat, nous devrions mener des négociations claires afin que toutes les conditions soient explicitement définies.",,,,,"Verhandlungen führen = to negociate, to conduct negotiations","Verhandlungen führen = méner des négociations, négocier",,,,,,,
353,24,Wir haben Ihre Beschwerde zur Kenntnis _____ und werden den Vorfall sorgfältig prüfen.,genommen,zur Kenntnis nehmen,Wir haben Ihre Beschwerde zur Kenntnis genommen und werden den Vorfall sorgfältig prüfen.,We have taken note of your complaint and will examine the incident carefully.,Nous avons pris note de votre plainte et examinerons soigneusement l’incident.,,,,,"etw.<sup>Acc</sup> zur Kenntnis nehmen = to take note of something, to take notice of something, to recognise","etw.<sup>Acc</sup> zur Kenntnis nehmen = prendre note, prendre connaissance de quelque chose",,,,,,,
354,24,"Er _____ zur Kenntnis, dass sein Vorschlag nicht die erwartete Unterstützung erhielt, und überarbeitete ihn anschließend.",nahm,zur Kenntnis nehmen,"Er nahm zur Kenntnis, dass sein Vorschlag nicht die erwartete Unterstützung erhielt, und überarbeitete ihn anschließend.",He took note that his proposal did not receive the expected support and then revised it.,"Il a pris note que sa proposition n’avait pas reçu le soutien attendu, puis l’a révisée.",,,,,"etw.<sup>Acc</sup> zur Kenntnis nehmen = to take note of something, to take notice of something, to recognise","etw.<sup>Acc</sup> zur Kenntnis nehmen = prendre note, prendre connaissance de quelque chose",,,,,,,
355,24,"Einige Mitarbeitende _____ unrealistische Ansprüche, ohne die finanziellen Grenzen des Unternehmens zu berücksichtigen.",stellen,Ansprüche stellen,"Einige Mitarbeitende stellen unrealistische Ansprüche, ohne die finanziellen Grenzen des Unternehmens zu berücksichtigen.",Some employees make unrealistic demands without considering the company's financial limitations.,Certains employés posent des exigences irréalistes sans tenir compte des limites financières de l’entreprise.,,,,,"Ansprüche stellen = to claim, to make demands","Ansprüche stellen = réclamer, présenter des réclamations",,,,,,,
356,24,"Der Markt _____ zunehmend neue Ansprüche an Unternehmen, insbesondere im Bereich Nachhaltigkeit und Transparenz.",stellt,Ansprüche stellen,"Der Markt stellt zunehmend neue Ansprüche an Unternehmen, insbesondere im Bereich Nachhaltigkeit und Transparenz.","The market is increasingly placing new demands on companies, especially in the area of sustainability and transparency.","Le marché impose de plus en plus de nouvelles exigences aux entreprises, notamment en matière de durabilité et de transparence.",,,,,"Ansprüche stellen = to claim, to make demands","Ansprüche stellen = réclamer, présenter des réclamations",,,,,,,
357,24,"Die ersten Gespräche mit dem Team _____ auf sie einen so positiven Eindruck, dass sie das Jobangebot ernsthaft in Erwägung zog.",machten,einen Eindruck machen,"Die ersten Gespräche mit dem Team machten auf sie einen so positiven Eindruck, dass sie das Jobangebot ernsthaft in Erwägung zog.",The first conversations with the team made such a positive impression on her that she seriously considered the job offer.,Les premiers échanges avec l’équipe lui ont fait une impression si positive qu’elle a sérieusement envisagé d’accepter l’offre d’emploi.,,,,,einen Eindruck machen = to make an impression,einen Eindruck machen = faire bonne impression,,,,,,,
