Nr,exercise,question,answer,konnektor,german,english,french,case_english,case_french,explanation_english,explanation_french
397,20,"Er benimmt sich, _____ ihm der Laden gehören würde.",als ob,als ob,"Er benimmt sich, als ob ihm der Laden gehören würde.",He behaves as if he owned the place.,Il se comporte comme s'il était le propriétaire des lieux.,,,als ob = as if ● Subordinating conjunction,als ob = comme si ● Conjonctions de subordination
398,20,"_____ das nicht genug wäre, kam er auch noch eine Stunde zu spät.",Als ob,Als ob,"Als ob das nicht genug wäre, kam er auch noch eine Stunde zu spät.","As if that weren’t enough, he also showed up an hour late.","Comme si cela ne suffisait pas, il est également arrivé avec une heure de retard.",,,als ob = as if ● Subordinating conjunction,als ob = comme si ● Conjonctions de subordination
399,20,"_____, wie viel Zeit du hast, könnten wir entweder ins Kino gehen oder einen Spaziergang machen.",Je nachdem,Je nachdem,"Je nachdem, wie viel Zeit du hast, könnten wir entweder ins Kino gehen oder einen Spaziergang machen.","Depending on how much time you have, we could either go to the cinema or take a walk.","Selon le temps dont vous disposez, nous pourrions soit aller au cinéma, soit faire une promenade.",,,je nachdem = depending on ● Subordinating conjunction,"je nachdem = selon, en fonction de ● Conjonctions de subordination"
400,20,"Die Entscheidung fällt _____, welche Informationen uns bis morgen vorliegen.",je nachdem,je nachdem,"Die Entscheidung fällt je nachdem, welche Informationen uns bis morgen vorliegen.",The decision will be made depending on what information we have by tomorrow.,La décision sera prise en fonction des informations dont nous disposerons demain.,,,je nachdem = depending on ● Subordinating conjunction,"je nachdem = selon, en fonction de ● Conjonctions de subordination"
401,20,"_____, ob das Meeting heute stattfindet, muss ich meinen Tagesplan komplett umstellen.",Je nachdem,Je nachdem,"Je nachdem, ob das Meeting heute stattfindet, muss ich meinen Tagesplan komplett umstellen.","Depending on whether the meeting takes place today, I might have to completely rearrange my schedule.","Selon que la réunion a lieu aujourd'hui ou non, je devrai peut-être réorganiser complètement mon emploi du temps.",,,je nachdem = depending on ● Subordinating conjunction,"je nachdem = selon, en fonction de ● Conjonctions de subordination"
402,20,"_____, wie die Verhandlungen verlaufen, könnte das Projekt deutlich früher starten.",Je nachdem,Je nachdem,"Je nachdem, wie die Verhandlungen verlaufen, könnte das Projekt deutlich früher starten.","Depending on how the negotiations go, the project could start significantly earlier.","En fonction de l’évolution des négociations, le projet pourrait démarrer beaucoup plus tôt.",,,je nachdem = depending on ● Subordinating conjunction,"je nachdem = selon, en fonction de ● Conjonctions de subordination"
403,20,"_____, wen du fragst, bekommst du völlig unterschiedliche Antworten auf dieselbe Frage.",Je nachdem,Je nachdem,"Je nachdem, wen du fragst, bekommst du völlig unterschiedliche Antworten auf dieselbe Frage.","Depending on who you ask, you'll get completely different answers to the same question.","Selon la personne à qui vous posez la question, vous obtiendrez des réponses complètement différentes à la même question.",,,je nachdem = depending on ● Subordinating conjunction,"je nachdem = selon, en fonction de ● Conjonctions de subordination"
404,20,"Ich habe das Meeting abgesagt, _____ weil ich plötzlich krank wurde.",nämlich,nämlich,"Ich habe das Meeting abgesagt, nämlich weil ich plötzlich krank wurde.","I canceled the meeting, namely because I suddenly became sick.","J'ai annulé la réunion, notamment parce que je suis soudainement tombé malade.",,,nämlich = namely ● Adverb,nämlich = notamment ● Adverbe
405,20,"Wir müssen den Plan ändern, _____ wegen der unerwarteten Kosten.",nämlich,nämlich,"Wir müssen den Plan ändern, nämlich wegen der unerwarteten Kosten.","We have to change the plan, namely because of the unexpected costs.","Nous devons changer le plan, notamment à cause des coûts imprévus.",,,nämlich = namely ● Adverb,nämlich = notamment ● Adverbe
406,20,"Er hat das Projekt nicht abgeschlossen, _____ da er mit anderen Aufgaben beschäftigt war.",nämlich,nämlich,"Er hat das Projekt nicht abgeschlossen, nämlich da er mit anderen Aufgaben beschäftigt war.","He didn’t finish the project, namely because he was busy with other tasks.","Il n’a pas terminé le projet, notamment parce qu’il était occupé avec d’autres tâches.",,,nämlich = namely ● Adverb,nämlich = notamment ● Adverbe
407,20,"Ich konnte nicht teilnehmen, _____ ich war zur Zeit schon verplant.",nämlich,nämlich,"Ich konnte nicht teilnehmen, nämlich ich war zur Zeit schon verplant.","I couldn’t attend, namely because I was already booked at that time.","Je n’ai pas pu y assister, notamment parce que j’étais déjà réservé à ce moment-là.",,,nämlich = namely ● Adverb,nämlich = notamment ● Adverbe
408,20,"Die Veranstaltung wurde abgesagt, _____ aufgrund des schlechten Wetters.",nämlich,nämlich,"Die Veranstaltung wurde abgesagt, nämlich aufgrund des schlechten Wetters.","The event was canceled, namely due to the bad weather.","L'événement a été annulé, notamment en raison du mauvais temps.",,,nämlich = namely ● Adverb,nämlich = notamment ● Adverbe
409,20,"Wir haben das Thema ausführlich besprochen, aber _____ gab es keine Einigung.",außerhalb davon,außerhalb davon,"Wir haben das Thema ausführlich besprochen, aber außerhalb davon gab es keine Einigung.","We discussed the topic in detail, but outside of that, there was no agreement.","Nous avons discuté du sujet en détail, mais en dehors de cela, il n’y avait pas d’accord.",,,"außerhalb davon = outside of it, outside of that ● Adverb",außerhalb davon = en dehors de cela ● Adverbe
410,20,"Die Regeln gelten im Büro, _____ darf jeder machen, was er will.",außerhalb davon,außerhalb davon,"Die Regeln gelten im Büro, außerhalb davon darf jeder machen, was er will.","The rules apply in the office; outside of that, everyone can do what they want.","Au bureau, les règles s'appliquent ; en dehors, chacun peut faire ce qu'il veut.",,,"außerhalb davon = outside of it, outside of that ● Adverb",außerhalb davon = en dehors de cela ● Adverbe
411,20,"Sie arbeitet an einem Projekt, aber _____ hat sie wenig Kontakt zu Kollegen.",außerhalb davon,außerhalb davon,"Sie arbeitet an einem Projekt, aber außerhalb davon hat sie wenig Kontakt zu Kollegen.","She’s working on a project, but outside of that, she has little contact with colleagues.","Elle travaille sur un projet, mais en dehors de cela, elle a peu de contacts avec ses collègues.",,,"außerhalb davon = outside of it, outside of that ● Adverb",außerhalb davon = en dehors de cela ● Adverbe
412,20,"_____ gibt es kaum Möglichkeiten, praktische Erfahrungen zu sammeln.",Außerhalb davon,Außerhalb davon,"Außerhalb davon gibt es kaum Möglichkeiten, praktische Erfahrungen zu sammeln.","Outside of that, there are hardly any opportunities to gain practical experience.","En dehors de cela, il existe peu d’opportunités d’acquérir une expérience pratique.",,,"außerhalb davon = outside of it, outside of that ● Adverb",außerhalb davon = en dehors de cela ● Adverbe
413,20,"Die Diskussion war produktiv, aber _____ war die Stimmung eher angespannt.",außerhalb davon,außerhalb davon,"Die Diskussion war produktiv, aber außerhalb davon war die Stimmung eher angespannt.","The discussion was productive, but outside of that, the mood was rather tense.","La discussion a été productive, mais en dehors de cela, l’ambiance était plutôt tendue.",,,"außerhalb davon = outside of it, outside of that ● Adverb",außerhalb davon = en dehors de cela ● Adverbe
414,20,"_____ lässt sich sagen, dass die Ergebnisse unsere Hypothese eindeutig bestätigen.",Abschließend,Abschließend,"Abschließend lässt sich sagen, dass die Ergebnisse unsere Hypothese eindeutig bestätigen.","In conclusion, it can be said that the results clearly confirm our hypothesis.","En conclusion, on peut affirmer que les résultats confirment clairement notre hypothèse.",,,"abschließend = to conclude, in conclusion ● Adverb","abschließend = pour conclure, en conclusion ● Adverbe"
415,20,"_____ möchte ich betonen, wie wichtig eine nachhaltige Entwicklung für unsere Zukunft ist.",Abschließend,Abschließend,"Abschließend möchte ich betonen, wie wichtig eine nachhaltige Entwicklung für unsere Zukunft ist.","In conclusion, I would like to emphasize how important sustainable development is for our future.","En conclusion, je tiens à souligner l'importance du développement durable pour notre avenir.",,,"abschließend = to conclude, in conclusion ● Adverb","abschließend = pour conclure, en conclusion ● Adverbe"
416,20,"_____ stellt der Bericht fest, dass weitere Maßnahmen notwendig sind.",Abschließend,Abschließend,"Abschließend stellt der Bericht fest, dass weitere Maßnahmen notwendig sind.","In conclusion, the report states that further measures are necessary.","En conclusion, le rapport indique que des mesures supplémentaires sont nécessaires.",,,"abschließend = to conclude, in conclusion ● Adverb","abschließend = pour conclure, en conclusion ● Adverbe"
417,20,"_____ bleibt nur zu hoffen, dass die Reformen tatsächlich umgesetzt werden.",Abschließend,Abschließend,"Abschließend bleibt nur zu hoffen, dass die Reformen tatsächlich umgesetzt werden.","In conclusion, we can only hope that the reforms will actually be implemented.","En conclusion, nous ne pouvons qu'espérer que les réformes seront effectivement mises en œuvre.",,,"abschließend = to conclude, in conclusion ● Adverb","abschließend = pour conclure, en conclusion ● Adverbe"
418,20,"_____ kann man festhalten, dass die Diskussion viele neue Perspektiven eröffnet hat.",Abschließend,Abschließend,"Abschließend kann man festhalten, dass die Diskussion viele neue Perspektiven eröffnet hat.","In conclusion, it can be noted that the discussion has opened up many new perspectives.","En conclusion, on peut noter que la discussion a ouvert de nombreuses perspectives nouvelles.",,,"abschließend = to conclude, in conclusion ● Adverb","abschließend = pour conclure, en conclusion ● Adverbe"
419,20,"_____ lässt sich sagen, dass die Reform zwar notwendig, aber unzureichend umgesetzt wurde.",Zusammenfassend,Zusammenfassend,"Zusammenfassend lässt sich sagen, dass die Reform zwar notwendig, aber unzureichend umgesetzt wurde.","In summary, it can be said that the reform was necessary but implemented inadequately.","En résumé, on peut dire que la réforme était nécessaire mais mal mise en œuvre.",,,"zusammenfassend = in summary, to summarize ● Adverb","zusammenfassend = en résumé, pour résumer ● Adverbe"
420,20,"_____ kann man feststellen, dass digitale Bildung immer wichtiger wird.",Zusammenfassend,Zusammenfassend,"Zusammenfassend kann man feststellen, dass digitale Bildung immer wichtiger wird.","To sum up, one can state that digital education is becoming increasingly important.","Pour résumer, on peut constater que l’éducation numérique devient de plus en plus importante.",,,"zusammenfassend = in summary, to summarize ● Adverb","zusammenfassend = en résumé, pour résumer ● Adverbe"
421,20,"_____ zeigt die Studie, dass nachhaltiges Handeln ökonomische Vorteile bringen kann.",Zusammenfassend,Zusammenfassend,"Zusammenfassend zeigt die Studie, dass nachhaltiges Handeln ökonomische Vorteile bringen kann.","In summary, the study shows that sustainable behavior can bring economic benefits.","En résumé, l’étude montre qu’un comportement durable peut apporter des avantages économiques.",,,"zusammenfassend = in summary, to summarize ● Adverb","zusammenfassend = en résumé, pour résumer ● Adverbe"
422,20,"_____ ist festzuhalten, dass klare Kommunikation entscheidend für den Erfolg ist.",Zusammenfassend,Zusammenfassend,"Zusammenfassend ist festzuhalten, dass klare Kommunikation entscheidend für den Erfolg ist.","In summary, it should be noted that clear communication is crucial for success.","En résumé, il faut noter qu’une communication claire est essentielle au succès.",,,"zusammenfassend = in summary, to summarize ● Adverb","zusammenfassend = en résumé, pour résumer ● Adverbe"
423,20,"_____ könnte man sagen, dass Erfahrung und Innovation sich gegenseitig ergänzen.",Zusammenfassend,Zusammenfassend,"Zusammenfassend könnte man sagen, dass Erfahrung und Innovation sich gegenseitig ergänzen.","To summarize, one could say that experience and innovation complement each other.","Pour résumer, on pourrait dire que l’expérience et l’innovation se complètent.",,,"zusammenfassend = in summary, to summarize ● Adverb","zusammenfassend = en résumé, pour résumer ● Adverbe"
424,20,"Er ist nicht nur unpünktlich, sondern _____ völlig unorganisiert.",obendrein,obendrein,"Er ist nicht nur unpünktlich, sondern obendrein völlig unorganisiert.","He’s not only unpunctual, but completely disorganized on top of that.","Il n’est pas seulement en retard, mais en plus totalement désorganisé.",,,"obendrein = on top of that, on top of this ● Adverb","obendrein = en plus de cela, en plus ● Adverbe"
